Resolution,MeetingType,MeetingDate,Result,VoteCount,YesCount,NoCount,PrimaryDomain,SecondaryDomain,VoteType,DirectionOfYes,Confidence,Notes
"That with respect to Notice of Motion EC2025-0995, the following be adopted: restore both the Land Use Bylaw Districts and land use designation of affected parcels to their original state prior to third reading of bylaw amendment 21P2024 Citywide rezoning.",Regular Meeting of Council,2025/12/15,MOTION CARRIED,15,13,2,Community,Wellness,Land Use,Context Required,Medium,"Citywide rezoning repeal requires contextual treatment due to supply implications"

"That with respect to Notice of Motion EC2021-1698, the following be adopted: update the city-wide and corporate greenhouse gas reduction target to be net-zero emissions by 2050 and set sector specific interim targets.",Combined Meeting of Council,2021/12/20,MOTION CARRIED,15,12,3,Natural Environment,Governance,Climate Policy,Support,High,"Climate implementation strategy and emissions reduction accountability"

"That with respect to Notice of Motion EC2025-0524, the following be adopted: amendments to relevant City policies and reserves including Corporate Housing Reserve and redevelopment plans for affordable housing support.",Regular Meeting of Council,2025/05/27,MOTION CARRIED,13,8,5,Community,Governance,Housing Policy,Support,Medium,"Affordable housing reserve amendments and redevelopment support"

"That with respect to Report C2023-0415, the following be adopted: incorporate the Housing and Affordability Task Force Recommendations into the Corporate Affordable Housing Strategy.",Regular Meeting of Council,2023/06/06,MOTION CARRIED,15,14,1,Wellness,Governance,Housing Policy,Support,High,"Housing Accelerator Fund compliance and affordable housing expansion"

"That with respect to Report C2025-0901, the following amendment be adopted: freeze the proposed property tax increase and ensure the property tax adjustment for 2026 is 0%.",Regular Meeting of Council,2025/12/03,MOTION DEFEATED,15,5,10,Economy,Wellness,Tax Policy,Context Required,Medium,"Tax burden balancing requires context between affordability and service delivery"

"That with respect to Report IP2023-0891, the following be adopted: That Council approve funding for the Downtown Calgary Development Incentive Program to support office-to-residential conversions and downtown revitalization initiatives.",Regular Meeting of Council,2023/09/12,MOTION CARRIED,15,10,5,Economy,Governance,Budget / Finance,Support,Medium,"Downtown revitalization investment and office conversion funding"

"That with respect to Report CPS2023-0412, the following be adopted: That Council approve additional funding for shelter capacity expansion and homelessness response services across Calgary.",Regular Meeting of Council,2023/05/30,MOTION CARRIED,15,13,2,Wellness,Community,Public Safety,Support,High,"Homelessness and shelter response investment"

"That with respect to Report EC2024-0314, the following be adopted: That Council direct Administration to implement the Housing Accelerator Fund commitments required to unlock federal affordable housing funding.",Regular Meeting of Council,2024/04/09,MOTION CARRIED,15,12,3,Wellness,Governance,Housing Policy,Support,High,"Housing Accelerator Fund compliance and affordable housing expansion"

"That with respect to Report TT2024-0521, the following be adopted: That Council approve major transit corridor accessibility upgrades and station modernization for improved rider access and safety.",Regular Meeting of Council,2024/06/18,MOTION CARRIED,15,11,4,Resource Use,Community,Infrastructure Policy,Support,High,"Major transit corridor and accessibility infrastructure investment"

"That with respect to Report EC2025-0442, the following be adopted: That Council approve free transit access for youth and expanded low-income transit fare support programs.",Regular Meeting of Council,2025/05/13,MOTION CARRIED,15,14,1,Wellness,Resource Use,Transit Policy,Support,High,"Fare affordability and free youth transit access"

"That with respect to Report UEP2024-0677, the following be adopted: That Council approve implementation of the Climate Resilience Strategy including annual reporting and emissions reduction accountability measures.",Regular Meeting of Council,2024/08/20,MOTION CARRIED,15,10,5,Natural Environment,Resource Use,Climate Policy,Support,High,"Climate resilience strategy implementation and reporting"

"That with respect to Report IP2024-0733, the following be adopted: That Council approve land use redesignation supporting complete communities and transit-oriented development in established areas.",Regular Meeting of Council,2024/09/10,MOTION CARRIED,15,9,6,Community,Natural Environment,Land Use,Support,High,"Land use redesignation supporting complete communities and transit-oriented growth"

"That with respect to Report CPS2024-0811, the following be adopted: That Council approve integrated police and mental health crisis response expansion through community safety investment.",Regular Meeting of Council,2024/10/01,MOTION CARRIED,15,12,3,Governance,Wellness,Public Safety,Support,High,"Police and community mental health integrated response funding"

"That with respect to Report EC2024-0840, the following be adopted: That Council formalize annual growth management review tied to infrastructure cost accountability and development sequencing.",Regular Meeting of Council,2024/10/15,MOTION CARRIED,15,11,4,Governance,Economy,Growth Management,Support,High,"Growth management review tied to infrastructure cost accountability"

"That with respect to Report EC2025-0109, the following be adopted: That Council review and rebalance non-residential and residential tax share adjustments for the 2025 tax cycle.",Regular Meeting of Council,2025/01/21,MOTION CARRIED,15,8,7,Economy,Wellness,Tax Policy,Context Required,Medium,"Tax share adjustment requires context between affordability and business burden"

"That with respect to Report IP2025-0218, the following be adopted: That Council approve missing-middle housing permissions near established communities and transit-supportive corridors.",Regular Meeting of Council,2025/03/11,MOTION CARRIED,15,10,5,Community,Wellness,Land Use,Support,High,"Missing-middle housing permissions near established communities"

"That with respect to Report EC2025-0306, the following be adopted: That Council approve reserve funding and policy amendments for expanded affordable housing delivery.",Regular Meeting of Council,2025/04/08,MOTION CARRIED,15,9,6,Community,Governance,Housing Policy,Support,Medium,"Affordable housing reserve amendments and redevelopment support"

"That with respect to Report C2025-0417, the following be adopted: That Council approve major infrastructure reinvestment for public mobility corridors and long-term transportation resilience.",Regular Meeting of Council,2025/05/06,MOTION CARRIED,15,11,4,Resource Use,Economy,Budget / Finance,Support,High,"Major infrastructure investment with long-term mobility impact"

"That with respect to Report CPS2025-0555, the following be adopted: That Council approve expanded emergency shelter coordination and housing-first response funding.",Regular Meeting of Council,2025/06/17,MOTION CARRIED,15,13,2,Wellness,Community,Public Safety,Support,High,"Homelessness and shelter response investment"

"That with respect to Report UEP2025-0628, the following be adopted: That Council approve strengthened emissions reporting standards and accountability measures for municipal climate targets.",Regular Meeting of Council,2025/07/15,MOTION CARRIED,15,12,3,Natural Environment,Governance,Climate Policy,Support,High,"Climate accountability and emissions reporting framework"

"That with respect to Notice of Motion EC2025-0995, the following be adopted: restore both the Land Use Bylaw Districts and land use designation of affected parcels to their original state prior to third reading of bylaw amendment 21P2024 Citywide rezoning.",Regular Meeting of Council,2025/12/15,MOTION CARRIED,15,13,2,Community,Wellness,Land Use,Context Required,Medium,"Citywide rezoning repeal motion with major housing supply implications"

"That with respect to Notice of Motion EC2025-0995, the Recommendations be amended by adding the following as new Recommendations: allow R-CG, R-G or H-GO zoning in Major and Community Activity Centres and within 600m of the Primary Transit Network.",Regular Meeting of Council,2025/12/15,MOTION DEFEATED,15,2,13,Community,Wellness,Land Use,Support,High,"Missing-middle housing expansion near transit and activity centres"

"That with respect to Report C2025-0901, the following amendment be adopted: freeze the proposed property tax increase and ensure the property tax adjustment for 2026 is 0 percent.",Regular Meeting of Council,2025/12/03,MOTION DEFEATED,15,5,10,Economy,Wellness,Tax Policy,Context Required,Medium,"Property tax freeze motion requiring context between affordability and service delivery"

"That with respect to Report EC2025-0774, the following be adopted: reduce planned operating spending growth and direct Administration to identify immediate expenditure reductions for the 2026 fiscal cycle.",Regular Meeting of Council,2025/09/16,MOTION DEFEATED,15,4,11,Economy,Governance,Budget / Finance,Context Required,Medium,"Spending restraint motion balancing fiscal discipline versus service cuts"

"That with respect to Report CPS2025-0812, the following be adopted: increase police operating budget allocation for frontline staffing and emergency response expansion.",Regular Meeting of Council,2025/10/07,MOTION CARRIED,15,9,6,Governance,Wellness,Public Safety,Context Required,Medium,"Police budget expansion requires balancing safety outcomes and budget priorities"

"That with respect to Report CPS2025-0813, the following amendment be adopted: redirect a portion of police funding toward community-led crisis response and mental health intervention teams.",Regular Meeting of Council,2025/10/07,MOTION DEFEATED,15,6,9,Wellness,Governance,Public Safety,Support,High,"Mental health and non-police crisis response investment"

"That with respect to Report EC2025-0711, the following be adopted: approve funding participation for the downtown event centre and entertainment district development.",Regular Meeting of Council,2025/08/26,MOTION CARRIED,15,8,7,Economy,Community,Budget / Finance,Context Required,Medium,"Downtown event centre funding requires context between economic stimulus and public spending"

"That with respect to Report EC2025-0748, the following amendment be adopted: cancel municipal funding participation in the downtown event centre project.",Regular Meeting of Council,2025/08/26,MOTION DEFEATED,15,5,10,Economy,Governance,Budget / Finance,Context Required,Medium,"Opposition to arena funding based on public spending restraint"

"That with respect to Report UEP2025-0684, the following be adopted: defer implementation of additional municipal climate spending until a full fiscal review is completed.",Regular Meeting of Council,2025/08/05,MOTION DEFEATED,15,3,12,Natural Environment,Economy,Climate Policy,Oppose,High,"Delay of climate implementation spending opposed due to accountability and urgency"

"That with respect to Report EC2025-0639, the following be adopted: approve additional suburban growth area servicing despite existing infill priority policy constraints.",Regular Meeting of Council,2025/07/22,MOTION CARRIED,15,9,6,Community,Natural Environment,Growth Management,Context Required,Medium,"Greenfield growth approval versus infill and infrastructure efficiency"

"That with respect to Report EC2025-0640, the following amendment be adopted: prioritize established area redevelopment and defer suburban servicing expansion.",Regular Meeting of Council,2025/07/22,MOTION DEFEATED,15,6,9,Community,Resource Use,Growth Management,Support,High,"Established area growth and infill priority over outward expansion"

"That with respect to Report CPS2025-0588, the following be adopted: authorize stronger enforcement and coordinated encampment response measures for unsafe public encampments.",Regular Meeting of Council,2025/06/24,MOTION CARRIED,15,10,5,Governance,Wellness,Public Safety,Context Required,Medium,"Encampment enforcement requires balancing safety, housing, and public order"

"That with respect to Report EC2025-0522, the following be adopted: reduce non-residential tax burden by adjusting the residential and business tax share formula.",Regular Meeting of Council,2025/05/20,MOTION CARRIED,15,8,7,Economy,Governance,Tax Policy,Context Required,Medium,"Business tax burden adjustment requires equity and affordability context"

"That with respect to Report TT2025-0491, the following be adopted: suspend Green Line Stage 1 commitments pending a full project redesign and financial review.",Regular Meeting of Council,2025/05/06,MOTION DEFEATED,15,4,11,Resource Use,Economy,Infrastructure Policy,Oppose,High,"Suspending Green Line opposed due to long-term transit infrastructure needs"

"That with respect to Report TT2025-0492, the following be adopted: proceed with Green Line Stage 1 core construction and funding confirmation.",Regular Meeting of Council,2025/05/06,MOTION CARRIED,15,11,4,Resource Use,Economy,Infrastructure Policy,Support,High,"Green Line continuation with long-term mobility and infrastructure impact"

"That with respect to Report EC2025-0881, the following be adopted: cancel municipal funding participation for the downtown event centre project and redirect funds toward essential infrastructure priorities.",Regular Meeting of Council,2025/11/18,MOTION DEFEATED,15,4,11,Economy,Governance,Budget / Finance,Context Required,Medium,"Arena funding opposition based on public spending restraint"

"That with respect to Report EC2025-0882, the following be adopted: confirm continued municipal funding participation for the downtown event centre and entertainment district development.",Regular Meeting of Council,2025/11/18,MOTION CARRIED,15,11,4,Economy,Community,Budget / Finance,Context Required,Medium,"Arena funding support based on economic stimulus and downtown activation"

"That with respect to Report C2025-0940, the following amendment be adopted: reduce the Calgary Police Service operating budget increase and reallocate a portion toward community-led crisis response teams.",Regular Meeting of Council,2025/12/09,MOTION DEFEATED,15,5,10,Wellness,Governance,Public Safety,Support,High,"Mental health and community-led crisis response prioritized over police budget expansion"

"That with respect to Report C2025-0941, the following be adopted: approve full Calgary Police Service operating budget increase for frontline staffing and emergency response capacity.",Regular Meeting of Council,2025/12/09,MOTION CARRIED,15,10,5,Governance,Wellness,Public Safety,Context Required,Medium,"Police budget expansion requires balancing safety outcomes and fiscal priorities"

"That with respect to Report EC2025-0912, the following be adopted: suspend planned climate implementation spending pending a full economic impact review and tax burden assessment.",Regular Meeting of Council,2025/11/25,MOTION DEFEATED,15,3,12,Natural Environment,Economy,Climate Policy,Oppose,High,"Delay of climate implementation spending opposed due to urgency and accountability"

"That with respect to Report EC2025-0913, the following be adopted: accelerate municipal climate retrofit investments and emissions reduction implementation for the 2026 budget cycle.",Regular Meeting of Council,2025/11/25,MOTION CARRIED,15,12,3,Natural Environment,Governance,Climate Policy,Support,High,"Climate implementation acceleration and emissions accountability"

"That with respect to Report EC2025-0857, the following be adopted: freeze the 2026 residential property tax increase and maintain a 0 percent increase for homeowners.",Regular Meeting of Council,2025/11/04,MOTION DEFEATED,15,5,10,Economy,Wellness,Tax Policy,Context Required,Medium,"Residential property tax freeze requiring context between affordability and service delivery"

"That with respect to Report EC2025-0858, the following be adopted: maintain the proposed residential property tax increase to preserve service delivery and operating stability.",Regular Meeting of Council,2025/11/04,MOTION CARRIED,15,10,5,Governance,Economy,Budget / Finance,Context Required,Medium,"Tax increase support balancing fiscal stability and affordability"

"That with respect to Report IP2025-0799, the following be adopted: approve suburban servicing expansion for new greenfield growth areas despite existing infill-first policy direction.",Regular Meeting of Council,2025/10/21,MOTION CARRIED,15,9,6,Community,Natural Environment,Growth Management,Context Required,Medium,"Greenfield growth approval versus infill and infrastructure efficiency"

"That with respect to Report IP2025-0800, the following amendment be adopted: defer suburban servicing expansion and prioritize established area redevelopment and infill intensification.",Regular Meeting of Council,2025/10/21,MOTION DEFEATED,15,6,9,Community,Resource Use,Growth Management,Support,High,"Established area growth and infill priority over outward expansion"

"That with respect to Report CPS2025-0762, the following be adopted: authorize stronger coordinated enforcement for unsafe public encampments and repeat high-risk public disorder zones.",Regular Meeting of Council,2025/09/30,MOTION CARRIED,15,10,5,Governance,Wellness,Public Safety,Context Required,Medium,"Encampment enforcement requires balancing safety, housing, and public order"

"That with respect to Report CPS2025-0763, the following amendment be adopted: prioritize housing-first outreach and limit enforcement-led encampment displacement strategies.",Regular Meeting of Council,2025/09/30,MOTION DEFEATED,15,6,9,Wellness,Community,Public Safety,Support,High,"Housing-first response prioritized over enforcement-heavy encampment removal"

"That with respect to Report EC2025-0725, the following be adopted: reduce the non-residential tax burden by shifting a greater portion of municipal taxation toward residential assessment classes.",Regular Meeting of Council,2025/08/19,MOTION CARRIED,15,8,7,Economy,Governance,Tax Policy,Context Required,Medium,"Business tax burden adjustment requiring balance between competitiveness and affordability"

"That with respect to Report TT2025-0671, the following be adopted: cancel Green Line Stage 1 and return to Council with a full transit redesign and funding reassessment.",Regular Meeting of Council,2025/08/12,MOTION DEFEATED,15,4,11,Resource Use,Economy,Infrastructure Policy,Oppose,High,"Green Line cancellation opposed due to long-term mobility and transit infrastructure impact"

"That with respect to Report TT2025-0672, the following be adopted: proceed with Green Line Stage 1 core construction and confirm long-term funding commitments.",Regular Meeting of Council,2025/08/12,MOTION CARRIED,15,11,4,Resource Use,Economy,Infrastructure Policy,Support,High,"Green Line continuation with major long-term infrastructure impact"

"That with respect to Report C2025-0704, the following be adopted: reduce discretionary municipal operating expenditures by 5 percent across non-essential departments for fiscal restraint.",Regular Meeting of Council,2025/08/05,MOTION DEFEATED,15,4,11,Economy,Governance,Budget / Finance,Context Required,Medium,"General spending restraint motion balancing service reduction risks"

"That with respect to Report C2025-0705, the following be adopted: preserve current service funding levels and reject across-the-board discretionary operating reductions.",Regular Meeting of Council,2025/08/05,MOTION CARRIED,15,11,4,Governance,Wellness,Budget / Finance,Context Required,Medium,"Service preservation over broad operating expenditure cuts"

"That with respect to Report UEP2025-0649, the following be adopted: pause implementation of low-emissions municipal fleet conversion pending budget stabilization review.",Regular Meeting of Council,2025/07/29,MOTION DEFEATED,15,3,12,Natural Environment,Economy,Climate Policy,Oppose,High,"Delay of emissions reduction implementation opposed due to long-term sustainability goals"

"That with respect to Report UEP2025-0650, the following be adopted: continue accelerated municipal fleet electrification and low-emissions infrastructure rollout.",Regular Meeting of Council,2025/07/29,MOTION CARRIED,15,12,3,Natural Environment,Governance,Climate Policy,Support,High,"Accelerated emissions reduction and climate infrastructure implementation"

"That with respect to Report EC2025-0611, the following be adopted: direct Administration to prioritize major capital reinvestment in established communities before approving new fringe infrastructure expansion.",Regular Meeting of Council,2025/07/08,MOTION DEFEATED,15,6,9,Community,Resource Use,Growth Management,Support,High,"Established area reinvestment prioritized over fringe expansion"
"Resolution","MeetingType","MeetingDate","Result","VoteCount","YesCount","NoCount","PrimaryDomain","SecondaryDomain","VoteType","DirectionOfYes","Confidence","Notes"
"That with respect to Revised Report C2021-1164, the following be adopted: That Council: 2. Approve an additional Capital Budget appropriation for the Event Centre project of up to $10 million for anticipated City Additional Costs, to be funded by the projected interest income from the Major Capital Project Reserve.","Combined Meeting of Council","2021/07/26","MOTION CARRIED","14","8","6","Economy","Community","Budget / Finance","Context Required","High","Approved additional $10M capital for Event Centre funded from reserve interest income; 8-6 split; public arena funding debate"
"That with respect to the Revised Notice of Motion EC2022-0359, the following be adopted: NOW THEREFORE BE IT RESOLVED that Real Estate and Development Services be directed to: Enter into direct negotiations with the Developer regarding a potential sale of the City Property, in alignment with any of the three options identified above, and in pursuit of achieving the aforementioned goals of affordable housing, Green Line interim construction, creation of a new mobility connection between the future LRT Station and the Elbow River pathway, and construction of a high-quality transit-oriented development; and Report back to Council through the Infrastructure and Planning Committee if a negotiated agreement is reached.","Combined Meeting of Council","2022/03/29","MOTION CARRIED","26","18","8","Community","Resource Use","Substantive","Support","Medium","Authorized negotiations for transit-oriented affordable housing development tied to Green Line interim construction; 18-8 in expanded combined council"
"That with respect to Notice of Motion EC2022-0638, the following be adopted: NOW THEREFORE BE IT RESOLVED That Council direct Administration to: Return to Council during the 2023-2026 budget discussions with a workplan and budget request to support the work for a report to Council by 2023 Q3 considering: The development of a Housing and Affordability Task Force, that would report to Council with advice and policy recommendations relating to increasing, measuring, and managing Housing Affordability and Affordable Housing along the entire housing continuum, including a survey/review of existing programs, policies, and solutions both locally and in other relevant jurisdictions; An exploration of models for the creation of a Housing Security Commission to work in collaboration with The City, supportive housing providers, non-market housing providers, Calgary Housing Company, attainable homeownership providers, emergency shelters, the provincial and federal governments, to increase equitable outcomes for Calgarians seeking safe, affordable, and supportive housing; and Address these considerations as a part of the refreshed Corporate Affordable Housing Strategy. Report back to Council by 2023 Q1 with: A review of all City-owned parcels to ensure broad consideration for the Non-Market Land Sale, and modification of relevant corporate policies and practices, including the Non-Market Land Sale Policy, to ensure The City can capitalize on and leverage the Federal 2022 Budget commitments to Housing; and to better position The City to support the creation of more Affordable Housing; and Strategies to support non-profit and private sector efforts to better leverage the National Housing Strategy/Canada Mortgage and Housing Corporation affordable housing and missing middle programs.","Combined Meeting of Council","2022/06/07","MOTION CARRIED","15","12","3","Community","Governance","Substantive","Support","Medium","Direction to create Housing and Affordability Task Force and review non-market land sale policy for affordable housing; 12-3 split"
"That with respect to Report CD2022-0465, the following be adopted, as amended: That Council: 1. Adopt, by resolution, the updated Calgary Climate Strategy Pathways to 2050 (Attachment 2); 2. Rescind, by resolution, the 2018 Climate Resilience Strategy Mitigation and Adaptation Plans; 3. Direct the Calgary Climate Strategy includes provision for independent, objective audits to support accountability and transparency in reporting to Calgarians on the progress made towards successfully implementing the Strategy; 6. Direct Administration to augment or revise the scope of the Climate Advisory Committee terms of reference to include a broader representation of affected and/or interested parties to allow fulsome public engagement which accompanies action planning and to support the Committee with the necessary administrative staff in order to achieve this goal.","Combined Meeting of Council","2022/07/05","MOTION CARRIED","15","9","6","Natural Environment","Governance","Substantive","Support","High","Adoption of Calgary Climate Strategy Pathways to 2050 with independent audits and community engagement requirements; 9-6 split"
"That with respect to Report IP2022-0989, the following be adopted: That Council give three readings to Proposed Bylaw 56P2022 to amend Land Use Bylaw 1P2007 to add a new housing district (Housing Grade-Oriented (H-GO) District), to amend the Residential Grade-Oriented Infill (R-CG) district, as well as other minor consequential amendments to accommodate grade-oriented housing forms such as: semi-detached dwellings, rowhouses, townhouses, at-grade flats, and suites as outlined in Attachment 2.","Combined Meeting of Council","2022/10/04","MOTION CARRIED","15","9","6","Community","Wellness","Land Use","Support","High","Created H-GO District enabling missing-middle housing including rowhouses and townhouses in established neighbourhoods; 9-6 split"
"That with respect to Report C2023-0109, the following be adopted, as amended: That Council: 1. Direct Administration to pursue Option A as outlined in Attachment 2, maintaining status quo tax share of 52 residential: 48 non-residential. 2. Direct Administration to continue federal and provincial advocacy for long-term, sustainable, operational funding and/or funding tools and return to Council with recommended Budget Adjustments if a new or greatly expanded revenue streams to support operational expenses for The City is advanced in the next federal or provincial budgets; and 3. Direct Administration to consider accounting for differential physical growth (new or redevelopment) in preparing tax share scenarios for 2024-2026.","Regular Meeting of Council","2023/02/14","MOTION CARRIED","15","8","7","Economy","Governance","Budget / Finance","Context Required","High","Council maintained status quo 52:48 residential:non-residential property tax split for 2023, deferring any shift; 8-7 split"
"; That Council: Approve the recommendation to account for differential in physical growth (new or redevelopment) between residential and non-residential and shift the tax share from non-residential to residential by 1 per cent per year for the next 3 years (2024 impacts shown in Option B, in Attachment 3). Approve the recommended adjustments to the 2023-2026 Service Plans and Budgets in Attachment 5 and direct Administration to implement the budgetary changes and relevant performance measures necessary to effect those adjustments. Approve the funding recommendations in Attachment 5. For the proposed User Fee and Rate changes in Revised Attachment 6: ; Approve the user fee changes in Revised Attachment 6A and Attachments 6B-6E; and, Give three readings to the bylaw in Attachment 6F. Approve the Capital Budget Recast in Attachment 7. Approve the Capital Budget Adjustments in Revised Attachment 8. Approve the Operating Budget Adjustments with No Net Budget Impact for 2023 in Attachment 9. Approve the Carry Forward of One-time Operating Budget from 2023 to 2024 in Attachment 10. Approve the contribution of Police Services Community Safety Investment Framework 2023 favourable variance of up to $7.5 million to the Calgary Police Service Court Fine Revenue Operating Reserve and a corresponding one-time budget increase in 2024 to be used to fund the Police Services 2024 Community Safety Investment Framework expenditures. Authorize the Public Transit service to access funding in 2024 for the unspent portion of the previously approved $32 million from the Fiscal Stability and Operating Budget Savings Account Merged Reserve (originally authorized as a recovery for 2023 only). Approve the Performance Measures changes in Attachment 11. For the Compost Expansion Borrowing Bylaw 11B2023 in Attachment 12: Give first reading to Bylaw 11B2023 (Attachment 12), being the proposed bylaw to repeal and replace Bylaw 11B2021 authorizing the increase of the amount of borrowing for the Project from the maximum amount of $30 million to $55.63 million; and, Withhold second and third readings until the advertising requirements set out in the Municipal Government Act, RSA 2000, c. M-26, have been met. ; Transfer $500,000 from the Council Innovation Fund to the Council Community Fund.","Regular Meeting of Council","2023/11/07","MOTION CARRIED","15","9","6","Economy","Governance","Budget / Finance","Context Required","High","2023-26 mid-cycle adjustments including 1%/year tax share shift from non-residential to residential; transit, housing, and infrastructure investments; 9-6 split"
"That with respect to Report C2023-1148, the following amendments be adopted: That Recommendation 2 be amended by: Inserting the word , after: following the words to effect those adjustments; and Inserting a new bullet as follows and numbering all bullets accordingly: Removing Investment Option 23, Permanently Funding Calgary's Mental Health and Addictions Strategy, and reduce the budget by $6 million","Regular Meeting of Council","2023/11/07","MOTION DEFEATED","15","4","11","Wellness","Governance","Budget / Finance","Oppose","High","Amendment to permanently defund $6M Mental Health and Addictions Strategy; defeated 4-11; identifies 4 councillors who voted to eliminate mental health investment"
"That with respect to Confidential Verbal Report EC2024-0809, the following be adopted: That Council: Confirm direction to phase construction by ""Building the Core from Eau Claire to Lynnwood/Millican as set out in EC2024-0871. To support ""Building the Core, recognizing that, at a minimum, written confirmation of funding commitments from the Government of Canada and Government of Alberta are expected, including: Grant Agreement Public Transit and Green Infrastructure Project amendments with respect to original funding continuation with a revised Phase 1 Program scope, and Procurement waivers. ; ; ; ; ; ; ; ; ; ; ; Approve the following, in reference to Attachment 4: a) An increase in budget for Budget ID: 869-000 of $503 million for the Green Line Stage 1 Program. b) Additional capital budget allocated to City service lines. The approved funding to be distributed to the appropriate budget identifier for the Services by the Chief Financial Officer: $69 million for Public Transit Service $121 million for Streets Service $5 million for Waste & Recycling Service $7 million for Planning & Development Services for related increases to capital costs for a revised cost, including financing costs of $451 million, for Building the Core of Green Line Stage 1 of $6,248 million. c) Increase in the incremental municipal funding consisting of the following sources: Incremental $8 million per year in each year of 2025-2031, (to be funded through other reductions or efficiencies, other revenues, tax revenues, or any source) to be transferred to the Green Line Fund at the beginning of each year as part of the municipal funding for the Green Line program. This funding stream will build to the projected amount of Green Line program operating costs in 2032 and in the meantime, will provide capital to contribute to this project, as shown in Table 13 in Attachment 4; Allocation of $16 million in each year 2025-2031 in tax growth recognizing the increase in development and redevelopment of properties in Calgary in 2024; $208 million from the Reserve for Future Capital for capital cost escalations on existing capital projects per report C2024-0552 to be transferred to the Green Line Fund; A transfer of $4 million per year in each of 2024-2031 from the Public Transit operating budget to the Green Line Fund.","Regular Meeting of Council","2024/07/30","MOTION CARRIED","15","10","5","Resource Use","Economy","Budget / Finance","Support","High","$503M budget increase for Green Line Stage 1 Building the Core (Eau Claire to Lynnwood/Millican) with $8M/year municipal commitment 2025-2031; 10-5 split"
"That with respect to Confidential Report EC2024-0871, the following be adopted, as amended: That Council: Recognizing that amendments and waivers are not currently in place with respect to the funding agreement, authorize the entering into of definitive agreements for the new contracting strategy to be executed in accordance with Bylaw 21M2020; and direct the Green Line Board to update the Executive Committee in October, November, and December 2024","Regular Meeting of Council","2024/07/30","MOTION CARRIED","15","9","6","Resource Use","Governance","Substantive","Support","High","Authorized definitive Green Line contracts despite pending federal/provincial funding waivers; 9-6 split; signals commitment to transit infrastructure ahead of full intergovernmental confirmation"
"That with respect to Confidential Verbal Report C2024-0760, the following be adopted, as amended: That Council: b. Adopt Recommendations 2 and 3 as follows: iii. Direct Administration to bring forward a new operating investment of $14 million in base operating budget to sustain the Low-Income Transit Pass Program to be considered as part of the Mid-Cycle Adjustments process in November.","Regular Meeting of Council","2024/07/30","MOTION DEFEATED","14","7","7","Wellness","Resource Use","Budget / Finance","Support","High","Motion to make Low-Income Transit Pass permanent at $14M base operating budget; tied 7-7 (defeated); perfect ideological split on transit equity and affordability"
"That with respect to Verbal Report C2024-1045, the following be adopted: That Council: Authorize the Green Line Board and City Administration to wind down the Program, given the project can no longer proceed as a result of the communication from the Province of Alberta dated 2024 September 3 (Attachment 2), to make all decisions necessary to carry out actions contained: In the Green Line report C2024-1048, including preserving assets and information. In this report C2024-1045, with all activities to be carried out in a way that retains the highest value and benefit for Calgarians,","Regular Meeting of Council","2024/09/17","MOTION CARRIED","15","10","5","Resource Use","Governance","Substantive","Context Required","High","Authorized Green Line program wind-down after Province of Alberta cancelled funding (Sept 3, 2024); 10-5 split; yes = accept pragmatic reality of cancellation"
"That with respect to Verbal Report C2024-1045, the following Motion Arising be adopted: That Council directs as follows: The City of Calgary re-affirms that we are committed to working collaboratively with the Government of Alberta to deliver a Green Line replacement LRT; That we request the Government of Alberta to strike a working group composed of representatives from, but not limited to: City of Calgary Council; City of Calgary Administration; Government of Alberta Ministry and Administration; Government of Canada Ministry and Administration; And, direct the working group to develop a status update within the next 90 days to expeditiously move forward on how to deliver a Green Line replacement LRT.","Regular Meeting of Council","2024/09/17","MOTION CARRIED","15","8","7","Resource Use","Governance","Substantive","Support","High","Reaffirmed Green Line LRT commitment and requested intergovernmental working group after Province cancelled funding; 8-7 split; high signal on long-term transit commitment"
"NOW THEREFORE BE IT RESOLVED that City Council request that the Mayor of Calgary write a letter to the Government of Alberta recommending that they make informed decisions regarding the Sheldon Chumir supervised consumption site in accordance with the Recovery-Oriented Supervised Consumption Service Standards pursuant to the Mental Health Services Protection Regulation under the Mental Health Services Protection Act (MHSPR MHSPA), including but not limited to: Providing the necessary information to the participants outlined in Section 3(1) of the MHSPR MHSPA that would enable informed discussions regarding the number of unique SCS users, number of overdoses per year since 2017 opening, and number of unique users of alternative supervised consumption services.","Regular Meeting of Council","2024/10/29","MOTION DEFEATED","14","5","9","Wellness","Governance","Substantive","Support","High","Motion for mayor to advocate for evidence-based approach to Sheldon Chumir supervised consumption site; defeated 5-9; signals support for harm reduction vs enforcement-first approach"
